Age,Gender,Diet Type,Allergies,Goal,Physical Activity Level,Height (cm),Weight (kg),Diet Plan
45,Male,Gluten-Free,None,PCOD/PCOS Cure,Sedentary,150,67,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
46,Male,Vegan,Nuts,Weight Loss,Active,172,116,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
33,Female,Non-Vegetarian,Shellfish,Muscle Gain,Moderate,157,114,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
20,Male,Non-Vegetarian,None,Weight Gain,Moderate,158,96,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
35,Female,Non-Vegetarian,Shellfish,Diabetes Management,Sedentary,183,62,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
61,Male,Non-Vegetarian,Shellfish,Diabetes Management,Active,173,95,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
32,Male,Vegetarian,Nuts,Weight Loss,Active,160,54,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
38,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Sedentary,183,62,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
46,Male,Vegan,Lactose,PCOD/PCOS Cure,Sedentary,158,113,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
31,Male,Gluten-Free,Lactose,Diabetes Management,Moderate,167,107,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
32,Female,Gluten-Free,Gluten,Diabetes Management,Moderate,163,102,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
26,Female,Gluten-Free,Gluten,Diabetes Management,Sedentary,176,114,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
24,Male,Vegetarian,Shellfish,Weight Loss,Moderate,184,98,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
46,Male,Vegan,Gluten,Diabetes Management,Moderate,195,57,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
54,Male,Dairy-Free,None,Weight Gain,Moderate,195,58,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
56,Female,Vegetarian,Gluten,PCOD/PCOS Cure,Sedentary,200,102,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
69,Female,Gluten-Free,Gluten,Muscle Gain,Moderate,155,59,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
36,Female,Gluten-Free,Shellfish,Diabetes Management,Active,173,75,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
23,Male,Non-Vegetarian,None,Weight Gain,Moderate,196,92,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
50,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Sedentary,154,81,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
59,Male,Dairy-Free,Shellfish,Muscle Gain,Moderate,193,90,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
44,Female,Vegan,Shellfish,Weight Gain,Sedentary,183,118,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
70,Female,Non-Vegetarian,Nuts,Weight Gain,Active,151,96,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
33,Male,Vegetarian,Lactose,Weight Loss,Sedentary,179,84,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
48,Male,Dairy-Free,None,Weight Loss,Active,164,100,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
48,Female,Non-Vegetarian,Lactose,Diabetes Management,Sedentary,178,55,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
35,Male,Vegan,None,Diabetes Management,Sedentary,193,71,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
19,Female,Gluten-Free,None,Weight Loss,Active,184,77,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
63,Female,Non-Vegetarian,Nuts,Muscle Gain,Active,185,94,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
34,Male,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,197,102,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
24,Male,Vegetarian,Shellfish,Weight Gain,Moderate,192,94,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
64,Female,Gluten-Free,Gluten,Muscle Gain,Moderate,190,117,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
31,Female,Vegan,Lactose,Weight Loss,Active,179,53,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
40,Female,Vegan,Gluten,Weight Gain,Sedentary,166,59,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
41,Male,Vegetarian,None,Muscle Gain,Sedentary,175,112,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
47,Male,Vegan,Shellfish,Diabetes Management,Active,170,79,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
29,Female,Vegan,Lactose,Diabetes Management,Sedentary,171,105,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
57,Female,Dairy-Free,None,Weight Gain,Sedentary,192,99,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
34,Male,Gluten-Free,None,Weight Loss,Active,193,82,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
34,Male,Gluten-Free,None,Weight Gain,Active,162,68,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
28,Male,Non-Vegetarian,Lactose,Weight Gain,Active,200,116,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
46,Male,Vegetarian,Gluten,Weight Loss,Active,160,116,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
64,Male,Gluten-Free,Gluten,PCOD/PCOS Cure,Active,194,84,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
61,Female,Dairy-Free,Nuts,Weight Loss,Active,181,76,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
36,Female,Vegan,Gluten,Diabetes Management,Sedentary,195,106,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
28,Female,Non-Vegetarian,Nuts,Muscle Gain,Active,186,88,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
58,Female,Dairy-Free,Lactose,PCOD/PCOS Cure,Moderate,170,55,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
34,Male,Dairy-Free,Shellfish,Weight Gain,Active,185,118,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
27,Male,Non-Vegetarian,Lactose,Diabetes Management,Sedentary,187,98,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
65,Male,Dairy-Free,Nuts,Weight Loss,Active,191,51,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
28,Male,Dairy-Free,None,Diabetes Management,Moderate,153,53,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
69,Female,Non-Vegetarian,Lactose,Weight Loss,Active,163,95,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
54,Female,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,160,81,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
52,Female,Non-Vegetarian,None,Weight Loss,Active,155,79,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
19,Male,Non-Vegetarian,None,Muscle Gain,Moderate,166,72,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
31,Male,Gluten-Free,Lactose,Muscle Gain,Sedentary,183,92,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
37,Male,Gluten-Free,Shellfish,Diabetes Management,Sedentary,166,107,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
70,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Active,195,78,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
52,Female,Vegetarian,Shellfish,Diabetes Management,Sedentary,188,107,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
20,Male,Non-Vegetarian,Gluten,Muscle Gain,Sedentary,162,62,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
69,Male,Vegetarian,Shellfish,Weight Loss,Moderate,179,67,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
60,Male,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Moderate,199,69,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
55,Female,Gluten-Free,Shellfish,Diabetes Management,Moderate,173,62,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
53,Male,Gluten-Free,Shellfish,Weight Gain,Moderate,159,109,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
25,Female,Dairy-Free,Gluten,Weight Loss,Active,191,64,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
32,Female,Vegan,Shellfish,Weight Loss,Active,188,59,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
42,Male,Vegetarian,Nuts,Weight Loss,Moderate,186,103,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
54,Female,Vegetarian,Shellfish,PCOD/PCOS Cure,Active,163,110,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
48,Female,Vegetarian,None,Diabetes Management,Active,160,62,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
21,Female,Vegan,Gluten,Weight Gain,Sedentary,196,101,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
54,Male,Non-Vegetarian,Gluten,Weight Gain,Active,199,73,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
32,Female,Vegetarian,None,Weight Loss,Active,192,112,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
24,Male,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,186,61,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
20,Female,Vegetarian,Gluten,Weight Loss,Sedentary,170,82,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
27,Female,Gluten-Free,Nuts,Weight Loss,Sedentary,197,96,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
70,Female,Non-Vegetarian,Shellfish,Weight Gain,Moderate,180,65,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
45,Male,Dairy-Free,Shellfish,Muscle Gain,Sedentary,198,50,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
34,Male,Vegan,Nuts,Weight Gain,Moderate,167,117,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
69,Female,Gluten-Free,Gluten,Weight Loss,Moderate,171,61,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
48,Male,Vegan,Shellfish,Weight Loss,Sedentary,195,97,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
45,Male,Vegan,Lactose,PCOD/PCOS Cure,Moderate,167,57,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
57,Male,Vegan,Nuts,PCOD/PCOS Cure,Moderate,186,94,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
23,Male,Vegan,Lactose,PCOD/PCOS Cure,Moderate,190,87,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
18,Female,Non-Vegetarian,None,Weight Loss,Moderate,183,120,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
26,Male,Dairy-Free,Lactose,Muscle Gain,Active,179,118,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
31,Male,Vegetarian,Lactose,Muscle Gain,Moderate,160,109,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
24,Male,Gluten-Free,Nuts,Muscle Gain,Sedentary,176,82,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
62,Female,Gluten-Free,None,Weight Gain,Moderate,182,120,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
65,Female,Vegetarian,None,PCOD/PCOS Cure,Moderate,167,63,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
56,Male,Vegan,None,Weight Loss,Active,150,63,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
59,Male,Non-Vegetarian,Gluten,Weight Loss,Active,156,96,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
56,Female,Vegan,Lactose,Weight Loss,Moderate,197,110,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
26,Female,Vegetarian,Gluten,Muscle Gain,Sedentary,197,87,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
67,Female,Vegan,Lactose,Weight Gain,Moderate,171,61,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
26,Male,Gluten-Free,Nuts,Muscle Gain,Moderate,197,108,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
59,Male,Vegetarian,Lactose,Diabetes Management,Active,172,119,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
28,Female,Gluten-Free,Nuts,Weight Gain,Active,200,83,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
51,Male,Vegetarian,Lactose,Muscle Gain,Moderate,195,71,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
26,Male,Gluten-Free,Shellfish,PCOD/PCOS Cure,Active,163,102,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
48,Male,Vegetarian,Lactose,Weight Loss,Active,180,56,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
27,Male,Vegan,Lactose,Muscle Gain,Sedentary,176,119,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
28,Female,Gluten-Free,Shellfish,PCOD/PCOS Cure,Active,173,55,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
49,Male,Vegetarian,Shellfish,Diabetes Management,Active,151,94,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
57,Male,Vegetarian,Shellfish,Weight Gain,Sedentary,190,110,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
59,Male,Vegan,Shellfish,PCOD/PCOS Cure,Active,199,75,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
39,Male,Vegetarian,Nuts,Weight Gain,Moderate,200,58,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
61,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Moderate,168,66,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
24,Female,Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,179,98,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
63,Female,Vegan,Gluten,Muscle Gain,Active,200,80,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
47,Male,Dairy-Free,Gluten,PCOD/PCOS Cure,Moderate,190,59,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
24,Female,Gluten-Free,Gluten,Weight Gain,Moderate,176,98,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
53,Male,Dairy-Free,None,Weight Loss,Moderate,195,67,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
24,Male,Dairy-Free,Nuts,Muscle Gain,Moderate,155,58,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
33,Male,Gluten-Free,Lactose,Weight Loss,Sedentary,160,97,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
21,Female,Non-Vegetarian,None,Muscle Gain,Sedentary,196,87,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
54,Female,Non-Vegetarian,Gluten,Muscle Gain,Active,199,94,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
57,Female,Dairy-Free,None,Muscle Gain,Sedentary,190,51,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
29,Male,Non-Vegetarian,Lactose,Weight Loss,Moderate,172,66,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
27,Male,Gluten-Free,Nuts,PCOD/PCOS Cure,Active,200,59,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
67,Female,Dairy-Free,Nuts,Weight Gain,Active,177,104,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
39,Male,Vegan,Shellfish,Diabetes Management,Moderate,197,97,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
29,Male,Non-Vegetarian,Shellfish,Muscle Gain,Sedentary,195,94,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
61,Male,Vegan,Gluten,PCOD/PCOS Cure,Sedentary,157,87,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
68,Male,Dairy-Free,Shellfish,Muscle Gain,Moderate,166,66,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
62,Male,Vegetarian,Gluten,Weight Gain,Sedentary,190,65,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
27,Male,Vegan,None,Weight Gain,Active,191,90,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
20,Female,Vegan,Shellfish,Muscle Gain,Active,168,57,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
63,Female,Vegan,None,Diabetes Management,Active,192,70,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
61,Male,Vegetarian,None,Weight Loss,Sedentary,176,115,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
51,Female,Vegetarian,None,Weight Loss,Sedentary,171,85,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
59,Male,Dairy-Free,None,Weight Loss,Active,186,92,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
66,Male,Gluten-Free,None,Diabetes Management,Sedentary,156,75,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
39,Female,Gluten-Free,Gluten,Weight Gain,Moderate,185,58,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
37,Female,Vegan,None,Weight Loss,Moderate,175,116,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
65,Male,Gluten-Free,Shellfish,Weight Loss,Sedentary,164,60,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
65,Male,Vegan,Gluten,Diabetes Management,Moderate,170,56,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
59,Female,Vegetarian,Shellfish,PCOD/PCOS Cure,Sedentary,194,74,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
56,Male,Dairy-Free,Gluten,Weight Gain,Active,151,57,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
59,Male,Vegan,None,PCOD/PCOS Cure,Sedentary,169,68,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
52,Female,Non-Vegetarian,Shellfish,Muscle Gain,Active,171,82,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
28,Male,Vegan,Gluten,PCOD/PCOS Cure,Moderate,177,80,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
29,Male,Gluten-Free,Lactose,Diabetes Management,Active,169,57,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
61,Male,Gluten-Free,Gluten,Weight Loss,Moderate,160,84,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
18,Female,Gluten-Free,Lactose,Weight Loss,Moderate,190,83,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
67,Male,Vegan,Gluten,Weight Gain,Moderate,198,88,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
32,Female,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Sedentary,187,74,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
26,Male,Dairy-Free,Shellfish,PCOD/PCOS Cure,Moderate,152,69,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
36,Female,Gluten-Free,Shellfish,Muscle Gain,Sedentary,183,115,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
39,Female,Non-Vegetarian,Lactose,Diabetes Management,Moderate,193,85,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
55,Male,Vegan,Gluten,PCOD/PCOS Cure,Sedentary,179,119,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
35,Female,Non-Vegetarian,None,Muscle Gain,Sedentary,153,53,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
27,Male,Non-Vegetarian,Gluten,Weight Loss,Active,180,72,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
63,Male,Vegan,Shellfish,Muscle Gain,Moderate,199,119,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
43,Female,Vegan,Nuts,PCOD/PCOS Cure,Sedentary,187,72,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
54,Female,Non-Vegetarian,Gluten,Weight Loss,Sedentary,152,85,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
47,Female,Dairy-Free,Shellfish,PCOD/PCOS Cure,Sedentary,189,59,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
22,Female,Non-Vegetarian,Gluten,Muscle Gain,Sedentary,169,67,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
36,Female,Gluten-Free,Gluten,PCOD/PCOS Cure,Active,152,120,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
65,Male,Non-Vegetarian,None,PCOD/PCOS Cure,Sedentary,196,102,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
20,Female,Gluten-Free,Lactose,Diabetes Management,Active,158,114,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
66,Female,Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,185,89,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
24,Female,Gluten-Free,Shellfish,Diabetes Management,Sedentary,194,87,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
39,Female,Vegetarian,Lactose,Diabetes Management,Moderate,173,98,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
37,Male,Vegetarian,Nuts,Weight Loss,Moderate,200,116,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
43,Female,Vegetarian,Shellfish,PCOD/PCOS Cure,Active,199,106,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
44,Female,Vegan,Nuts,Weight Loss,Active,155,53,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
48,Male,Vegetarian,Shellfish,Diabetes Management,Moderate,160,63,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
26,Female,Dairy-Free,Gluten,Diabetes Management,Active,183,69,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
35,Male,Non-Vegetarian,Lactose,PCOD/PCOS Cure,Moderate,158,98,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
34,Female,Non-Vegetarian,Nuts,Diabetes Management,Moderate,188,96,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
22,Male,Vegetarian,Gluten,Diabetes Management,Moderate,195,98,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
47,Male,Gluten-Free,Lactose,Diabetes Management,Moderate,159,93,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
54,Female,Non-Vegetarian,Shellfish,Diabetes Management,Moderate,168,70,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
50,Male,Vegetarian,None,PCOD/PCOS Cure,Moderate,194,103,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
18,Female,Non-Vegetarian,Nuts,Weight Gain,Moderate,156,73,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
56,Male,Gluten-Free,Gluten,PCOD/PCOS Cure,Active,187,71,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
50,Female,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Sedentary,200,69,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
69,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Active,198,110,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
20,Female,Gluten-Free,Nuts,Muscle Gain,Sedentary,182,60,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
66,Male,Vegan,Lactose,PCOD/PCOS Cure,Moderate,154,120,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
62,Male,Vegetarian,Lactose,Weight Loss,Active,173,89,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
35,Female,Vegan,Nuts,Diabetes Management,Sedentary,160,103,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
58,Female,Dairy-Free,Shellfish,PCOD/PCOS Cure,Sedentary,186,119,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
64,Female,Vegetarian,Nuts,Muscle Gain,Moderate,155,103,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
43,Female,Dairy-Free,Shellfish,PCOD/PCOS Cure,Moderate,155,85,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
58,Female,Dairy-Free,Gluten,Weight Gain,Active,180,85,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
53,Female,Gluten-Free,None,PCOD/PCOS Cure,Sedentary,172,106,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
59,Male,Vegan,Lactose,Weight Gain,Sedentary,191,57,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
50,Female,Gluten-Free,Shellfish,Diabetes Management,Active,171,113,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
34,Male,Non-Vegetarian,None,Diabetes Management,Active,197,61,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
45,Female,Vegetarian,None,Weight Gain,Active,150,75,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
22,Male,Vegetarian,Lactose,Diabetes Management,Moderate,161,120,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
28,Male,Dairy-Free,Gluten,Weight Gain,Active,154,50,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
61,Male,Non-Vegetarian,None,Diabetes Management,Active,186,64,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
28,Male,Non-Vegetarian,Gluten,Weight Gain,Sedentary,196,76,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
43,Male,Gluten-Free,Gluten,Weight Gain,Active,170,88,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
